ticker,sector,total_profit,avg_profit
DIS,Communication,21.08993530273436,0.05874633789062496
NEE,Energy,12.599449157714844,0.03509595865658731
BAC,Finance,3.119136810302731,0.0086884033713168
BA,Industrial,1.8599853515625568,0.00518101769237481
NVDA,Technology,0.0,0.0
WMT,Consumer,0.0,0.0
CAT,Industrial,0.0,0.0
XOM,Energy,0.0,0.0
CVX,Energy,0.0,0.0
KO,Consumer,0.0,0.0
PG,Consumer,0.0,0.0
MSFT,Technology,0.0,0.0
GS,Finance,0.0,0.0
JPM,Finance,0.0,0.0
GOOGL,Communication,0.0,0.0
META,Communication,0.0,0.0
AAPL,Technology,0.0,0.0
UNP,Industrial,0.0,0.0
