ticker,sector,train_loss,val_loss
NVDA,Technology,0.00011,0.00807
MSFT,Technology,0.00054,0.00383
AAPL,Technology,0.00067,0.00144
META,Communication,0.00039,0.00181
DIS,Communication,0.00089,0.00029
GOOGL,Communication,0.00066,0.00247
BAC,Finance,0.00098,0.00084
JPM,Finance,0.00041,0.00146
GS,Finance,0.00052,0.00151
PG,Consumer,0.0009,0.00071
WMT,Consumer,0.00027,0.00164
KO,Consumer,0.00107,0.00136
NEE,Energy,0.00163,0.00138
CVX,Energy,0.0007,0.00069
XOM,Energy,0.00086,0.00091
CAT,Industrial,0.00048,0.00147
BA,Industrial,0.00087,0.00027
UNP,Industrial,0.0016,0.00135
