ticker,sector,train_loss,val_loss
NVDA,Technology,0.00564,0.38117
MSFT,Technology,0.04239,0.22091
AAPL,Technology,0.04896,0.16654
META,Communication,0.01064,0.20819
DIS,Communication,0.05884,0.03225
GOOGL,Communication,0.03818,0.17758
BAC,Finance,0.03751,0.08641
JPM,Finance,0.01135,0.20183
GS,Finance,0.01721,0.1573
PG,Consumer,0.04885,0.11908
WMT,Consumer,0.00973,0.1702
KO,Consumer,0.03962,0.14638
NEE,Energy,0.07977,0.02931
CVX,Energy,0.05678,0.09644
XOM,Energy,0.05275,0.17759
CAT,Industrial,0.02105,0.23682
BA,Industrial,0.05643,0.0274
UNP,Industrial,0.05123,0.10476
